State,Year,Quarter,Transacion_type,Transacion_count,Transacion_amount,Latitude,Longitude
andhra-pradesh,2018,3,Others,348725,284248675.5700202,15.9129,79.74
andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608,15.9129,79.74
andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957,15.9129,79.74
andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256,15.9129,79.74
andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068,15.9129,79.74
andhra-pradesh,2018,4,Others,389411,315211361.26249415,15.9129,79.74
andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595,15.9129,79.74
andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377,15.9129,79.74
andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346,15.9129,79.74
andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048,15.9129,79.74
andhra-pradesh,2019,1,Others,361263,284937624.5393019,15.9129,79.74
andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.4702,15.9129,79.74
andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095,15.9129,79.74
andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959,15.9129,79.74
andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537,15.9129,79.74
andhra-pradesh,2019,2,Others,448802,361492238.3966455,15.9129,79.74
andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532,15.9129,79.74
andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906,15.9129,79.74
andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369,15.9129,79.74
andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443,15.9129,79.74
andhra-pradesh,2019,3,Others,413437,298142027.58625776,15.9129,79.74
andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753,15.9129,79.74
andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486,15.9129,79.74
andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999,15.9129,79.74
andhra-pradesh,2019,4,Financial Services,105662,26796571.745749157,15.9129,79.74
andhra-pradesh,2019,4,Others,338672,216496893.1610288,15.9129,79.74
andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755,15.9129,79.74
andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496998,15.9129,79.74
andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532,15.9129,79.74
andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855,15.9129,79.74
andhra-pradesh,2020,1,Others,292310,188228538.3748977,15.9129,79.74
andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907,15.9129,79.74
andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467,15.9129,79.74
andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269,15.9129,79.74
andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634,15.9129,79.74
andhra-pradesh,2020,2,Others,176241,90087654.6000998,15.9129,79.74
andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056,15.9129,79.74
andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052,15.9129,79.74
andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.82717,15.9129,79.74
andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529,15.9129,79.74
andhra-pradesh,2020,3,Others,312329,151582519.18136686,15.9129,79.74
andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708,15.9129,79.74
andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168,15.9129,79.74
andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747,15.9129,79.74
andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684,15.9129,79.74
andhra-pradesh,2020,4,Others,457527,306853355.59473807,15.9129,79.74
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018,15.9129,79.74
andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477,15.9129,79.74
andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482,15.9129,79.74
andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014,15.9129,79.74
andhra-pradesh,2021,1,Others,347907,272546457.5502677,15.9129,79.74
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439,15.9129,79.74
andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248,15.9129,79.74
andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976,15.9129,79.74
andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667,15.9129,79.74
andhra-pradesh,2021,2,Others,406842,308302224.3856007,15.9129,79.74
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307,15.9129,79.74
andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754,15.9129,79.74
andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361,15.9129,79.74
andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866,15.9129,79.74
andhra-pradesh,2021,3,Others,547759,403948275.56756073,15.9129,79.74
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282,15.9129,79.74
andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386,15.9129,79.74
andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985798,15.9129,79.74
andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881,15.9129,79.74
andhra-pradesh,2021,4,Others,701856,545223415.6638832,15.9129,79.74
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.478,15.9129,79.74
andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562,15.9129,79.74
andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001,15.9129,79.74
andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065,15.9129,79.74
andhra-pradesh,2022,1,Others,627694,474382234.25397474,15.9129,79.74
